sim_time,super_dense_time,controller.moveDiscreteCommand,controller.MovementArgs_target_X,controller.MovementArgs_target_Y,controller.MovementArgs_target_Z,dmodel.movediscrete,mapping.q0,mapping.q1,mapping.q2,mapping.q3,mapping.q4,mapping.q5,mapping.robotStopped,mapping.moveCompleted
24.5,1,False,1.0,13.0,0.0,True,-3.0755899019445385,-1.202192777385319,1.7323827789420667,-2.1701813964297587,-0.7875076962270251,-1.4779248208382656,True,False
25.0,1,False,1.0,13.0,0.0,True,-3.07559132316518,-1.2024694515142516,1.7323827789420694,-2.1702011572393536,-0.7875408856368686,-1.478004065931791,False,False
25.5,1,False,1.0,13.0,0.0,True,-3.070382907180412,-1.2031019816617547,1.728035600124314,-2.164372159418356,-0.7928003238166901,-1.4692462073815848,False,False
26.0,1,False,1.0,13.0,0.0,True,-2.8859285564292767,-1.312123481790759,1.5595274680732558,-2.0843332850640595,-0.9099380018971086,-1.2456361845433932,True,False
26.5,1,False,1.0,13.0,0.0,True,-2.640013489456847,-1.357552006045669,1.3769330920813632,-2.077655801971786,-0.926050122999639,-0.9620959973426597,True,False
27.0,1,False,1.0,13.0,0.0,True,-2.586079701072668,-1.344491086100847,1.3616599413859305,-2.0775914690344672,-0.9269138902695744,-0.8515097619804317,True,True
27.5,1,False,1.0,13.0,0.0,True,-2.5846091909024436,-1.344879310616494,1.3616514673010167,-2.077020372485056,-0.9266401975159422,-0.8489833412929402,True,False
28.0,1,False,1.0,13.0,0.0,True,-2.5847659917673464,-1.343730407261564,1.3616514673010158,-2.0769211075973564,-0.9267541966277877,-0.8492725901349449,True,False
28.5,1,False,1.0,13.0,0.0,True,-2.5845642153418664,-1.3446585791596393,1.3616514673010123,-2.0769877728683452,-0.9269919379427138,-0.8493183272868339,True,False
29.0,1,False,1.0,13.0,0.0,True,-2.584702887718966,-1.344429720938816,1.3616514673010114,-2.0771127666188134,-0.9268696484965613,-0.8491993195657077,True,False
29.5,1,False,1.0,13.0,0.0,True,-2.58466884792365,-1.3443611543527911,1.3616514673010114,-2.077014852075499,-0.9270910016501919,-0.849426650826913,True,False
30.0,1,True,0.0,23.0,1.0,True,-2.5846847617282904,-1.3435031757833569,1.361651467301015,-2.076996854454186,-0.9271683750513553,-0.8492298548507486,True,False
30.5,1,False,0.0,23.0,1.0,True,-2.5846425727295648,-1.3454738901409042,1.3616514673010167,-2.0771910238799896,-0.92693036940444,-0.8492605513241096,True,False
31.0,1,False,0.0,23.0,1.0,True,-2.5847050508737324,-1.3434318783496186,1.3616514673010203,-2.077016806171387,-0.9269385667325745,-0.8491185811268176,True,False
31.5,1,False,0.0,23.0,1.0,True,-2.584726067878477,-1.3440178101925007,1.3616514673010203,-2.0769055481274705,-0.9270741102719899,-0.8491660134282677,False,False
32.0,1,False,0.0,23.0,1.0,True,-2.581475996227466,-1.3493908323455566,1.3659986461082392,-2.080223612343553,-0.9307252905632062,-0.8445973898669701,False,False
32.5,1,False,0.0,23.0,1.0,True,-2.2786018400335566,-1.5911220631871865,1.5767738292448907,-2.2410669744959124,-1.1778331281823586,-0.5667267370918854,False,False
33.0,1,False,0.0,23.0,1.0,True,-1.876899999964782,-1.7482499685978237,1.6480685015363195,-2.2641372613536275,-1.4514899926428004,-0.20209564647651224,True,True
33.5,1,False,0.0,23.0,1.0,True,-1.6726102345909064,-1.7397950547237846,1.6485805076279876,-2.2633721955162995,-1.5007006544893366,-0.06640071253914481,True,False
34.0,1,False,0.0,23.0,1.0,True,-1.6657926161560068,-1.7430329523181278,1.648580507627985,-2.2645078305977604,-1.5032417135265188,-0.06680062270526221,True,True
34.5,1,False,0.0,23.0,1.0,True,-1.665758102358053,-1.746001015031263,1.648580507627984,-2.264494702069798,-1.5034521085693457,-0.06713214742802975,True,True
35.0,1,False,0.0,23.0,1.0,True,-1.66590905859682,-1.740885865491224,1.6485805076279805,-2.2637976935404565,-1.5037383161981452,-0.06744346493865327,True,True
35.5,1,True,3.0,20.0,2.0,True,-1.6657992235732912,-1.7416061071778381,1.6485805076279778,-2.2637229820370024,-1.503327501840488,-0.06681713929201738,True,True
