time,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state
15.0,true,true,true,false,false,false,true,-3.07560307233104,-1.2021374192758172,1.7323827770102342,-2.1699693260395003,-0.7867330509894277,-1.4778620112441727,0.004238619986730318,-0.03800451155058983,0.0,-0.015247953602507117,-0.0066543200951243355,-0.0033333695295574253,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
15.5,true,true,true,false,false,false,true,-3.0755418850770804,-1.2012428133880864,1.732382777010236,-2.169760010727207,-0.7874080007501054,-1.4779695196359768,0.0023331774617223666,0.0850293163171925,0.0,0.031380295824241095,0.005389964417014077,0.001216110292645809,false,false,true,1,13,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
16.0,true,true,true,false,false,false,true,-3.0756280626981907,-1.200956093879456,1.7323827770102396,-2.170295549515364,-0.7876719411984321,-1.4779381259574143,0.004019932407751359,-0.046067357378740965,0.0,-2.059696408096966E-4,-0.010567060322232862,-4.0469538813433793E-4,false,false,false,0,0,0,true,false,false,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove
16.5,true,false,true,false,false,false,false,-3.0753811908668407,-1.201320058711893,1.731819253831949,-2.1689395743952256,-0.7894817583082152,-1.4774811984867622,0.03336933565112996,-0.07611241197020129,-0.035342917323084956,0.019413354148415916,-0.058196999629712066,0.021619150256140113,false,false,false,0,0,0,true,false,false,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
17.0,true,false,true,false,false,false,false,-2.996243185789729,-1.2645650308195853,1.6486447922362943,-2.111692338289907,-0.8676026459896162,-1.395371428624597,0.44434659351884026,-0.20678336472283682,-0.42575659777818886,0.1783418234444411,-0.2391140940290391,0.4954431921450384,false,false,false,0,0,0,true,false,false,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
17.5,true,false,true,false,false,false,false,-2.7132440868251377,-1.354267487176533,1.4109180506643808,-2.077516008128697,-0.9258383295656989,-1.0573117442547426,0.4656189080308553,0.017327603558040645,-0.2585088912063841,-3.984555110748371E-4,-0.0014612176487463623,0.636713188847209,false,false,false,0,0,0,true,false,false,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
18.0,true,true,true,false,false,false,false,-2.590466822488632,-1.344935234962458,1.3622498805016203,-2.0773501313823024,-0.92653618744606,-0.8771842873256768,0.033140237634483524,-0.007409495542810927,-0.0029028600172515077,-0.0013757183769061393,-0.014138591230764035,0.11439171585510055,false,false,false,0,0,0,true,false,false,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
18.5,true,true,true,false,false,false,true,-2.5847004435849437,-1.3451120972165578,1.3616514590483684,-2.0771397440445982,-0.9269645979763208,-0.8494361319345116,-0.00675058065429247,0.07218122618316884,0.0,0.023963473767634517,-0.003722457961608713,0.0076698770842058275,false,false,false,0,0,0,true,false,false,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
19.0,true,true,true,false,false,false,true,-2.5846719615797182,-1.342950216025355,1.361651459048372,-2.07674943101343,-0.9266111022866292,-0.8491447468338071,-0.004803850644919795,-0.07053171603283186,-3.552713678801208E-13,-0.02222088120582997,-0.003416320736172165,0.00458065703661339,false,false,false,0,0,0,true,false,false,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
19.5,true,true,true,false,false,false,true,-2.584543599810492,-1.3469793109154136,1.361651459048371,-2.07778913447926,-0.9264468106617798,-0.8490824085561774,-2.486989270523094E-4,-0.023383269881454217,0.0,-0.00825692593800107,-0.006973415849033382,-0.003403372467670318,false,false,false,0,0,0,true,false,false,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
20.0,true,true,true,false,false,false,false,-2.5847340778285384,-1.344579713381055,1.3616514590483693,-2.077176484338726,-0.9268323325570273,-0.8491483567772371,-0.006601379868344174,-0.04054498079889254,0.0,-0.014093976317933216,-0.003813555171029085,-0.008781614209498271,false,false,false,0,0,0,true,false,false,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
